,date,y_minmax_0935
0,20181001,198
1,20181002,67
2,20181004,234
3,20181005,185
4,20181008,113
5,20181010,198
6,20181011,135
7,20181012,158
8,20181015,153
9,20181016,122
10,20181017,198
11,20181018,99
12,20181019,171
13,20181022,81
14,20181023,162
15,20181024,104
16,20181025,198
17,20181026,243
18,20181029,149
19,20181030,194
20,20181031,185
21,20181101,171
22,20181102,212
23,20181105,244
24,20181106,208
25,20181107,280
26,20181108,154
27,20181109,126
28,20181112,212
29,20181113,207
30,20181114,122
31,20181116,153
32,20181119,212
33,20181120,149
34,20181121,90
35,20181122,112
36,20181123,108
37,20181126,131
38,20181127,117
39,20181128,117
40,20181129,108
41,20181130,76
42,20181203,221
43,20181204,77
44,20181205,131
45,20181206,104
46,20181207,90
47,20181210,135
48,20181211,153
49,20181212,118
50,20181213,95
51,20181214,180
52,20181217,95
53,20181218,135
54,20181219,86
55,20181220,212
56,20181221,144
57,20181224,108
58,20181226,190
59,20181227,145
60,20181228,144
61,20190103,135
62,20190104,135
63,20190107,230
64,20190108,90
65,20190109,189
66,20190110,148
67,20190111,154
68,20190114,50
69,20190115,221
70,20190116,86
71,20190117,113
72,20190118,90
73,20190121,167
74,20190122,140
75,20190123,122
76,20190124,171
77,20190125,167
78,20190128,90
79,20190129,109
80,20190130,90
81,20190131,176
82,20190201,109
83,20190207,203
84,20190208,135
85,20190211,72
86,20190212,135
87,20190213,99
88,20190214,145
89,20190215,131
90,20190218,95
91,20190219,231
92,20190220,77
93,20190221,149
94,20190222,81
95,20190225,122
96,20190226,72
97,20190227,104
98,20190228,198
99,20190304,136
100,20190305,104
101,20190306,86
102,20190307,109
103,20190308,68
104,20190311,127
105,20190312,135
106,20190313,81
107,20190314,154
108,20190315,248
109,20190318,94
110,20190319,162
111,20190320,167
112,20190321,311
113,20190322,90
114,20190325,117
115,20190326,109
116,20190327,180
117,20190328,68
118,20190329,127
119,20190401,189
120,20190402,90
121,20190403,58
122,20190404,117
123,20190405,144
124,20190408,158
125,20190409,100
126,20190410,72
127,20190411,76
128,20190412,122
129,20190415,126
130,20190416,109
131,20190417,109
132,20190418,117
133,20190419,91
134,20190422,145
135,20190423,99
136,20190424,158
137,20190425,122
138,20190426,122
139,20190429,119
140,20190430,119
141,20190502,266
142,20190503,92
143,20190507,257
144,20190508,138
145,20190509,110
146,20190510,170
147,20190513,174
148,20190514,124
149,20190515,193
150,20190516,156
151,20190517,138
152,20190520,193
153,20190521,152
154,20190522,238
155,20190523,156
156,20190524,152
157,20190527,161
158,20190528,120
159,20190529,289
160,20190530,183
161,20190531,156
162,20190603,256
163,20190604,106
164,20190605,133
165,20190607,193
166,20190610,151
167,20190611,110
168,20190612,124
169,20190613,114
170,20190614,216
171,20190617,78
172,20190618,152
173,20190619,124
174,20190620,82
175,20190621,96
176,20190624,83
177,20190625,78
178,20190626,74
179,20190627,60
180,20190628,55
181,20190701,146
182,20190702,197
183,20190703,138
184,20190704,105
185,20190705,91
186,20190708,160
187,20190709,78
188,20190710,110
189,20190711,188
190,20190712,78
191,20190715,92
192,20190716,170
193,20190717,124
194,20190718,69
195,20190719,83
196,20190722,92
197,20190723,143
198,20190724,73
199,20190725,151
200,20190726,83
201,20190729,143
202,20190730,79
203,20190731,115
204,20190801,78
205,20190802,133
206,20190805,455
207,20190806,335
208,20190807,179
209,20190808,115
210,20190809,105
211,20190812,133
212,20190813,101
213,20190814,137
214,20190816,147
215,20190819,87
216,20190820,55
217,20190821,56
218,20190822,129
219,20190823,78
220,20190826,134
221,20190827,110
222,20190828,73
223,20190829,55
224,20190830,193
225,20190902,60
226,20190903,73
227,20190904,143
228,20190905,111
229,20190906,88
230,20190909,157
231,20190910,73
232,20190911,147
233,20190916,206
234,20190917,87
235,20190918,92
236,20190919,253
237,20190920,78
238,20190923,73
239,20190924,105
240,20190925,106
241,20190926,69
242,20190927,111
243,20190930,138
244,20191001,41
245,20191002,92
246,20191004,166
247,20191007,110
248,20191008,120
249,20191010,321
250,20191011,138
251,20191014,133
252,20191015,110
253,20191016,138
254,20191017,74
255,20191018,64
256,20191021,124
257,20191022,124
258,20191023,101
259,20191024,101
260,20191025,115
261,20191028,138
262,20191029,88
263,20191030,143
264,20191031,93
265,20191101,120
266,20191104,133
267,20191105,69
268,20191106,166
269,20191107,92
270,20191108,106
271,20191111,115
272,20191112,88
273,20191113,65
274,20191115,79
275,20191118,83
276,20191119,189
277,20191120,143
278,20191121,194
279,20191122,60
280,20191125,175
281,20191126,83
282,20191127,193
283,20191128,147
284,20191129,231
285,20191202,119
286,20191203,139
287,20191204,83
288,20191205,97
289,20191206,138
290,20191209,111
291,20191210,83
292,20191211,101
293,20191212,180
294,20191213,115
295,20191216,106
296,20191217,83
297,20191218,157
298,20191219,102
299,20191220,106
300,20191223,119
301,20191224,87
302,20191226,148
303,20191227,138
304,20191230,101
305,20200103,166
306,20200106,138
307,20200107,185
308,20200108,162
309,20200109,101
310,20200110,170
311,20200113,115
312,20200114,124
313,20200115,147
314,20200116,83
315,20200117,166
316,20200120,110
317,20200121,106
318,20200122,175
319,20200123,203
320,20200128,203
321,20200129,166
322,20200130,254
323,20200131,189
324,20200203,147
325,20200204,245
326,20200205,194
327,20200206,130
328,20200207,240
329,20200210,194
330,20200211,175
331,20200212,199
332,20200213,180
333,20200214,152
334,20200217,138
335,20200218,166
336,20200219,189
337,20200220,120
338,20200221,254
339,20200224,268
340,20200225,250
341,20200226,199
342,20200227,226
343,20200228,295
344,20200302,364
345,20200303,194
346,20200304,536
347,20200305,272
348,20200306,176
349,20200309,213
350,20200310,355
351,20200311,235
352,20200312,254
353,20200313,757
354,20200316,965
355,20200317,392
356,20200318,244
357,20200319,748
358,20200320,563
359,20200323,494
360,20200324,452
361,20200325,564
362,20200326,1075
363,20200327,318
364,20200330,309
365,20200331,309
366,20200401,250
367,20200402,434
368,20200403,212
369,20200406,351
370,20200407,296
371,20200408,245
372,20200409,125
373,20200410,208
374,20200413,143
375,20200414,115
376,20200416,281
377,20200417,221
378,20200420,194
379,20200421,212
380,20200422,235
381,20200423,194
382,20200424,147
383,20200427,129
384,20200428,150
385,20200429,169
386,20200504,310
387,20200506,259
388,20200507,98
389,20200508,159
390,20200511,155
391,20200512,291
392,20200513,193
393,20200514,108
394,20200515,164
395,20200518,193
396,20200519,112
397,20200520,160
398,20200521,90
399,20200522,136
400,20200525,108
401,20200526,108
402,20200527,112
403,20200528,98
404,20200529,137
